Season,Datetime,Div,Country,League,Referee,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,PSH,PSD,PSA,B365H,B365D,B365A,LBH,LBD,LBA,BWH,BWD,BWA
2019/2020,2020-07-20 20:00:00,SP2,Spain,La Liga Segunda Division,,Santander,Vallecano,1,2,A,1,0,H,8.21,4.4,1.44,8.0,4.5,1.4,,,,7.5,3.9,1.4
2019/2020,2020-07-20 20:00:00,SP2,Spain,La Liga Segunda Division,,Sp Gijon,Huesca,0,1,A,0,0,D,3.36,3.15,2.36,3.3,3.1,2.15,,,,3.1,3.0,2.25
2019/2020,2020-07-20 20:00:00,SP2,Spain,La Liga Segunda Division,,Cadiz,Albacete,0,1,A,0,0,D,3.74,3.11,2.22,4.0,2.87,2.15,,,,3.75,2.9,2.05
2019/2020,2020-07-19 16:00:00,SP1,Spain,La Liga Primera Division,,Alaves,Barcelona,0,5,A,0,3,A,,,,5.5,4.33,1.53,,,,6.0,4.25,1.5
2019/2020,2020-07-17 20:00:00,SP2,Spain,La Liga Segunda Division,,Tenerife,Lugo,1,2,A,0,0,D,1.71,3.55,5.7,1.66,3.5,5.5,,,,1.75,3.3,5.0
2019/2020,2020-07-16 20:00:00,SP1,Spain,La Liga Primera Division,,Ath Bilbao,Leganes,0,2,A,0,0,D,1.82,3.51,5.04,1.8,3.4,4.75,,,,1.8,3.4,5.0
2019/2020,2020-07-16 20:00:00,SP1,Spain,La Liga Primera Division,,Mallorca,Granada,1,2,A,1,1,D,2.06,3.59,3.74,2.05,3.4,3.5,,,,2.05,3.4,3.7
2019/2020,2020-07-16 20:00:00,SP1,Spain,La Liga Primera Division,,Celta,Levante,2,3,A,2,2,D,1.6,4.5,5.32,1.61,4.0,5.25,,,,1.62,4.1,5.25
2019/2020,2020-07-16 20:00:00,SP1,Spain,La Liga Primera Division,,Getafe,Ath Madrid,0,2,A,0,0,D,3.54,3.01,2.39,3.6,2.9,2.25,,,,3.8,2.9,2.25
2019/2020,2020-07-16 20:00:00,SP1,Spain,La Liga Primera Division,,Barcelona,Osasuna,1,2,A,0,1,A,1.15,8.28,19.76,1.14,8.0,17.0,,,,1.14,8.5,17.0
2019/2020,2020-07-16 20:00:00,SP1,Spain,La Liga Primera Division,,Betis,Alaves,1,2,A,0,0,D,2.39,3.32,3.19,2.3,3.3,3.1,,,,2.35,3.2,3.2
2019/2020,2020-07-13 21:00:00,SP1,Spain,La Liga Primera Division,,Granada,Real Madrid,1,2,A,0,2,A,7.79,4.58,1.45,6.5,4.5,1.45,,,,7.0,4.6,1.45
2019/2020,2020-07-13 18:30:00,SP1,Spain,La Liga Primera Division,,Villarreal,Sociedad,1,2,A,0,0,D,2.3,3.56,3.14,2.3,3.25,3.1,,,,2.2,3.6,3.1
2019/2020,2020-07-12 20:45:00,SP2,Spain,La Liga Segunda Division,,Zaragoza,Oviedo,2,4,A,0,2,A,2.16,3.14,3.87,2.05,3.1,3.8,,,,2.1,3.1,3.8
2019/2020,2020-07-12 16:00:00,SP1,Spain,La Liga Primera Division,,Levante,Ath Bilbao,1,2,A,0,2,A,3.67,3.4,2.14,3.8,3.2,2.1,,,,3.5,3.25,2.2
2019/2020,2020-07-12 16:00:00,SP2,Spain,La Liga Segunda Division,,La Coruna,Extremadura UD,2,3,A,1,0,H,1.58,4.0,6.21,,,,,,,,,
2019/2020,2020-07-12 13:00:00,SP1,Spain,La Liga Primera Division,,Espanol,Eibar,0,2,A,0,2,A,3.44,3.37,2.24,3.4,3.2,2.25,,,,3.3,3.2,2.3
2019/2020,2020-07-11 20:45:00,SP2,Spain,La Liga Segunda Division,,Cadiz,Fuenlabrada,0,1,A,0,0,D,1.97,3.07,4.92,1.95,3.0,4.5,,,,1.95,2.95,4.75
2019/2020,2020-07-11 18:30:00,SP1,Spain,La Liga Primera Division,,Valladolid,Barcelona,0,1,A,0,1,A,10.02,5.0,1.36,9.5,5.25,1.3,,,,8.5,5.0,1.36
2019/2020,2020-07-10 18:30:00,SP1,Spain,La Liga Primera Division,,Sociedad,Granada,2,3,A,0,2,A,1.76,3.81,4.93,1.72,3.6,5.25,,,,1.75,3.7,4.75
2019/2020,2020-07-09 21:00:00,SP1,Spain,La Liga Primera Division,,Ath Bilbao,Sevilla,1,2,A,1,0,H,3.09,3.07,2.6,3.1,3.0,2.45,,,,3.0,3.0,2.6
2019/2020,2020-07-08 20:45:00,SP2,Spain,La Liga Segunda Division,,Ponferradina,Lugo,0,1,A,0,0,D,2.26,2.97,3.85,2.15,3.0,3.8,,,,2.1,2.95,3.9
2019/2020,2020-07-08 19:30:00,SP1,Spain,La Liga Primera Division,,Getafe,Villarreal,1,3,A,0,0,D,2.68,3.12,2.94,2.6,3.0,2.87,,,,2.6,3.0,3.0
2019/2020,2020-07-07 20:45:00,SP2,Spain,La Liga Segunda Division,,Extremadura UD,Cadiz,0,1,A,0,1,A,3.28,2.92,2.54,3.2,2.9,2.45,,,,3.3,2.85,2.4
