Season,Datetime,Div,Country,League,Referee,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,PSH,PSD,PSA,B365H,B365D,B365A,LBH,LBD,LBA,BWH,BWD,BWA
2019/2020,2020-08-03 19:30:00,SWZ,Switzerland,Super League,,Basel,Luzern,0,0,D,-1,-1,,,,,,,,,,,,,
2020,2020-08-03 16:30:00,FIN,Finland,Veikkausliiga,,Lahti,Honka,0,0,D,-1,-1,,,,,,,,,,,,,
2020,2020-08-02 17:00:00,SWE,Sweden,Allsvenskan,,Kalmar,AIK,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-07-31 19:30:00,SWZ,Switzerland,Super League,,Thun,Basel,0,0,D,-1,-1,,,,,,,,,,,,,
2020,2020-07-31 11:00:00,CHN,China,Super League,,Jiangsu Suning,Shandong Luneng,0,0,D,-1,-1,,,,,,,,,,,,,
2020,2020-07-29 17:00:00,NOR,Norway,Eliteserien,,Sarpsborg 08,Haugesund,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-07-27 20:00:00,I2,Italy,Serie B,,Spezia,Virtus Entella,0,0,D,0,0,D,1.89,3.45,4.57,1.83,3.3,4.6,,,,1.85,3.3,4.2
2020,2020-07-27 18:00:00,SWE,Sweden,Allsvenskan,,Ostersunds,Helsingborg,0,0,D,-1,-1,,,,,,,,,,,,,
2020,2020-07-27 04:00:00,USA,USA,MLS,,Sporting Kansas City,Vancouver Whitecaps,0,0,D,-1,-1,,,,,,,,,,,,,
2020,2020-07-26 17:00:00,NOR,Norway,Eliteserien,,Start,Stabaek,0,0,D,-1,-1,,,,,,,,,,,,,
2020,2020-07-26 13:30:00,SWE,Sweden,Allsvenskan,,Hacken,Goteborg,0,0,D,-1,-1,,,,,,,,,,,,,
2020/2021,2020-07-26 01:00:00,MEX,Mexico,Liga MX,,Guadalajara Chivas,Club Leon,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-07-24 20:00:00,I2,Italy,Serie B,,Cremonese,Spezia,0,0,D,0,0,D,3.12,2.82,2.74,3.1,2.87,2.55,,,,2.95,2.75,2.7
2019/2020,2020-07-22 20:45:00,I1,Italy,Serie A,,Inter,Fiorentina,0,0,D,0,0,D,1.48,4.85,6.6,1.45,4.5,6.5,,,,1.45,4.6,7.0
2020,2020-07-22 18:00:00,SWE,Sweden,Allsvenskan,,Djurgarden,Ostersunds,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-07-22 17:00:00,RUS,Russia,Premier League,,Ufa,Arsenal Tula,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-07-21 19:00:00,P1,Portugal,Liga I,,Sp Lisbon,Setubal,0,0,D,0,0,D,1.37,4.98,8.88,1.4,4.5,7.5,,,,1.4,4.5,7.5
2020,2020-07-21 14:00:00,USA,USA,MLS,,Toronto FC,New England Revolution,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-07-20 20:00:00,SP2,Spain,La Liga Segunda Division,,Almeria,Malaga,0,0,D,0,0,D,2.2,3.19,3.69,2.1,3.2,3.6,,,,2.05,3.1,3.5
2019/2020,2020-07-20 18:00:00,E0,England,Premier League,S Hooper,Brighton,Newcastle,0,0,D,0,0,D,1.97,3.48,4.3,1.9,3.4,4.33,,,,1.95,3.4,4.2
2019/2020,2020-07-19 20:00:00,SP1,Spain,La Liga Primera Division,,Espanol,Celta,0,0,D,0,0,D,6.1,3.83,1.64,5.0,3.8,1.66,,,,5.75,3.7,1.6
2019/2020,2020-07-19 18:00:00,G1,Greece,Ethniki Katigoria,,PAOK,Aris,0,0,D,0,0,D,,,,,,,,,,1.2,6.0,12.5
2020,2020-07-19 17:00:00,NOR,Norway,Eliteserien,,Kristiansund,Valerenga,0,0,D,-1,-1,,,,,,,,,,,,,
2019/2020,2020-07-18 17:15:00,G1,Greece,Ethniki Katigoria,,Larisa,Xanthi,0,0,D,0,0,D,,,,2.87,3.2,2.2,,,,3.0,3.25,2.3
2019/2020,2020-07-18 17:15:00,G1,Greece,Ethniki Katigoria,,Atromitos,Panionios,0,0,D,0,0,D,,,,3.2,3.3,2.0,,,,3.3,3.3,2.1
2020,2020-07-18 03:30:00,USA,USA,MLS,,Real Salt Lake,Minnesota United,0,0,D,-1,-1,,,,,,,,,,,,,
